quarter,quarter_start,year,q,n_articles,lm_neg,lm_pos,lm_unc,lm_lit,lm_strong,lm_weak,lm_constr,gi_neg,gi_pos,earn_salience,div_salience,dr_salience,cf_growth,cf_decline,lm_tone,cf_tone,hl_lm_neg,hl_lm_pos,hl_lm_unc,hl_lm_lit,hl_lm_strong,hl_lm_weak,hl_lm_constr,hl_gi_neg,hl_gi_pos,hl_earn_salience,hl_div_salience,hl_dr_salience,hl_cf_growth,hl_cf_decline,hl_lm_tone,hl_cf_tone,lm_tone_disp,lm_neg_disp,lm_unc_disp,gi_neg_disp,cf_tone_disp,mean_body_tokens,ocr_quality,sent_agg
1889Q3,1889-07-01,1889,3,1546,0.006992372945899779,0.0027164353404973726,0.002092634434535359,0.0013056298031763071,0.003985797649141004,0.0012294680646576892,0.0003155272024342742,0.017426531122950433,0.019486524812406383,0.0018677759684327727,0.000808765128078657,0.004290444603215476,0.002415415135876168,0.0018822829662458428,-0.004275937605402406,0.0005331321696303254,0.0049823541623417065,0.0014531866306829978,0.0008303923603902845,0.0006227942702927133,0.00041519618019514223,0.0006227942702927133,0.0,0.03030932115424538,0.012871081586049408,0.021382603280049824,0.010587502594976126,0.0186838281087814,0.0012455885405854266,0.0010379904504878555,-0.0035291675316587085,0.00020759809009757111,0.013668294573163398,0.011760262964891173,0.005227601720309418,0.018339305588886634,0.008751909693672438,178.34993531694695,0.43282353325185235,-0.5531455233721855
1889Q4,1889-10-01,1889,4,1873,0.006591136683217201,0.0029728154865542905,0.002344755876718877,0.0015247891638781983,0.003733465458466069,0.00150036462349571,0.0003035621447537832,0.01732746679134813,0.023255651664183506,0.0029134987456253905,0.0009455786348077615,0.0036183211966629098,0.0022086762945878707,0.001727163927047387,-0.0036183211966629098,0.0004815123675404837,0.007388718688051901,0.0070282933861957105,0.002342764462065237,0.003424040367633808,0.0018021265092809514,0.0014417012074247613,0.00018021265092809516,0.031357001261488555,0.02414849522436475,0.027932960893854747,0.009731483150117138,0.014417012074247611,0.002342764462065237,0.001261488556496666,-0.0003604253018561903,0.001081275905568571,0.01854289596948947,0.015195086236277607,0.008037225011150763,0.021661105529705713,0.011500998706682872,153.0149492792312,0.41791435360453877,-0.2165119683898394
1890Q1,1890-01-01,1890,1,1898,0.010689961343973667,0.00376273645685576,0.003351271750782324,0.001702705921843362,0.0033350297229110047,0.0019598713631392593,0.0004520697757517352,0.021041547107294837,0.02335062206966747,0.002980412114387188,0.0014428334759022446,0.0038006345218888397,0.002631208515153812,0.0022928329345013156,-0.006927224887117906,0.0003383755806524964,0.012093188689311755,0.00586875333451894,0.0019562511115063133,0.0023119331317801887,0.002134092121643251,0.0005335230304108127,0.0,0.027565356571225323,0.02418637737862351,0.02489774141917126,0.010848301618353193,0.021874444246843323,0.0014227280810955006,0.001244887070958563,-0.006224435354792815,0.00017784101013693757,0.016393794886172746,0.0141282799852211,0.009834648239000965,0.02275052562359214,0.010976495929885194,194.63224446786091,0.45328522083743894,-0.8199281088053728
1890Q2,1890-04-01,1890,2,1746,0.00999461384571416,0.004569987029261108,0.0052734847319014224,0.0018631696968364588,0.0038967177435311187,0.003784048189592631,0.00046716644315958404,0.020621276408644227,0.024809286169674854,0.002610636005891793,0.0012393650933233671,0.004281443049662541,0.003954426539450832,0.003426803262470596,-0.005424626816453053,0.0005276232769802361,0.01767131356764186,0.0064794816414686825,0.0021598272138228943,0.0025525230708816024,0.0015707834282348322,0.0007853917141174161,0.0,0.03220106027881406,0.017278617710583154,0.01904574906734734,0.011191831926173179,0.032397408207343416,0.0033379147849990185,0.0005890437855880621,-0.011191831926173179,0.0027488709994109564,0.020419621023673413,0.017006194059149094,0.011913220698511964,0.025823463856390217,0.012895152575805677,208.41695303550975,0.486364235935542,-0.48117879961586413
1890Q3,1890-07-01,1890,3,1448,0.009395867949963947,0.003602219644480672,0.003915728751920243,0.0011881995171959744,0.0032730350816691225,0.0025676395899300875,0.0004859391165313352,0.019572373577452427,0.020089663604727716,0.0020785653823243567,0.001194469699344766,0.005263817913910399,0.0040160516663009065,0.003790325108944415,-0.005793648305483274,0.00022572655735649121,0.01667042126605091,0.0031538634827663887,0.0020274836674926784,0.00022527596305474206,0.0013516557783284523,0.0013516557783284523,0.0,0.03829691371930615,0.013516557783284524,0.01779680108132462,0.011489074115791845,0.03356611849515657,0.0022527596305474207,0.00022527596305474206,-0.013516557783284524,0.0020274836674926784,0.017071283067797004,0.01324282101465868,0.00677455884486833,0.01897715932497004,0.01374642352293683,220.2831491712707,0.45419631940307864,-0.9108159523955051
1890Q4,1890-10-01,1890,4,1689,0.010042016684210066,0.003516455319732096,0.003493128916284454,0.0011575727710892555,0.0033531704955985994,0.0022889033382999134,0.0003615592534384577,0.020279391997294137,0.019267609247752646,0.0018107120676232435,0.0011546569706583003,0.003913004178342018,0.0031753066693103256,0.003119906461122175,-0.0065255613644779695,5.540020818815077e-05,0.021608643457382955,0.0024009603841536613,0.0012004801920768306,0.0008003201280512205,0.0008003201280512205,0.0006002400960384153,0.0,0.053621448579431776,0.023209283713485393,0.015606242496998799,0.012004801920768308,0.03081232492997199,0.0024009603841536613,0.00040016006402561027,-0.01920768307322929,0.0020008003201280513,0.020212950665935456,0.019882656911135825,0.008844848621273516,0.02498121317363431,0.012263440475798746,203.0544701006513,0.4356001737817057,-1.1529992948534387
1891Q1,1891-01-01,1891,1,1506,0.009360703452454452,0.00477430389115354,0.00467459955286439,0.0018560346050749508,0.0037810952905039286,0.00301413884212585,0.0005905564652511207,0.022832293468215407,0.026302771397126213,0.0028147301655475493,0.0015799302836588425,0.005786686403012605,0.004502034351979323,0.0034666431466689163,-0.004586399561300912,0.0010353912053104064,0.011988237955213752,0.005202442886224836,0.0013571590137977834,0.0015833521827640805,0.0013571590137977834,0.00022619316896629722,0.0,0.06785795068988916,0.028047952951820856,0.017643067179371183,0.012666817462112644,0.030536077810450125,0.002035738520696675,0.0,-0.006785795068988917,0.002035738520696675,0.02248887966980215,0.022393270491917742,0.014173727628062145,0.02987733472761772,0.011626891646035885,173.1547144754316,0.5308105579224683,-0.28058548447458354
1891Q2,1891-04-01,1891,2,1439,0.010063988489644467,0.0063874900609594484,0.00961720495248192,0.0017303396312142668,0.0039226080042406575,0.007394646170156375,0.0007610465336412858,0.023009352163871115,0.03214569686872894,0.0039074627995910795,0.002048388928855401,0.008246563931695127,0.005145583279694067,0.004293665518155314,-0.0036764984286850174,0.0008519177615387528,0.004522732682694597,0.004522732682694597,0.00119019281123542,0.0007141156867412521,0.00119019281123542,0.0009521542489883361,0.0,0.06284218043323019,0.02594620328493216,0.020947393477743395,0.014520352297072126,0.0328493215900976,0.0009521542489883361,0.00023803856224708403,0.0,0.0007141156867412521,0.020326633921665883,0.018018387796234388,0.018818336184704486,0.026952069604153594,0.012895226561299692,183.5371785962474,0.6111885199348757,0.16800141040081631
1891Q3,1891-07-01,1891,3,1202,0.010604082880594558,0.002348949881229568,0.0019167901408781956,0.0008584397563442226,0.0032926456407723604,0.0010495307979961899,0.00027634704485053743,0.019397210658764315,0.014422963851454643,0.0011112679037606718,0.0008643194807027446,0.002093181871633858,0.0019961664197182434,0.001946188762670806,-0.00825513299936499,4.9977657047437616e-05,0.01836622807017544,0.0030153508771929823,0.0008223684210526315,0.0008223684210526315,0.0005482456140350877,0.0005482456140350877,0.00027412280701754384,0.0424890350877193,0.02275219298245614,0.011239035087719298,0.007949561403508772,0.03974780701754386,0.0024671052631578946,0.0,-0.015350877192982455,0.0024671052631578946,0.014627957405377642,0.013050509081295012,0.004618245420636218,0.01899109248075972,0.010114901935833469,282.98835274542427,0.345965921117618,-1.6046768722988354
1891Q4,1891-10-01,1891,4,1190,0.010720376088860211,0.0034075371403112565,0.0019695503218570922,0.0010723448710267165,0.0041726198706426385,0.0010446912783641364,0.0002980442764744742,0.01999662011645235,0.015658078689834234,0.0015117297322210443,0.0011553056490144567,0.002448879261341814,0.002710052080932848,0.0019818408074849057,-0.007312838948548954,0.0007282112734479421,0.007594936708860759,0.006751054852320675,0.0014064697609001407,0.0008438818565400844,0.001969057665260197,0.00028129395218002813,0.0,0.03572433192686357,0.02250351617440225,0.00590717299578059,0.002531645569620253,0.046413502109704644,0.0028129395218002813,0.0014064697609001407,-0.0008438818565400844,0.0014064697609001407,0.017629794017389178,0.015395292732680633,0.00636447308770058,0.019074055042411425,0.009663375530081238,273.49159663865544,0.39495168302837563,-1.2262245150237614
