qe,Earn_ann,Div_ann,SP500,e1,ec2,d1,dc2
1975-03-31,,,83.36,,,,
1975-06-30,,,95.19,,,,
1975-09-30,,,83.87,,,,
1975-12-31,7.842790947944691,3.5861618137959743,90.19,,,,
1976-03-31,8.522555574715515,3.6153605140743412,102.77,0.027704562040758773,,,
1976-06-30,9.091922484274507,3.6899214130209153,104.28,0.09556686556407668,,,
1976-09-30,9.374255812401366,3.789374198279056,105.24,0.12839002454371862,,,
1976-12-31,9.738632401070326,3.8551554186276356,107.46,0.10807579329802586,,,
1977-03-31,9.914952130723997,3.9826746935413,98.42,0.0881372383526835,,,
1977-06-30,10.210007815934315,4.1282601415636915,100.48,0.11201993249352427,,,
1977-09-30,10.382629479066761,4.234874549684996,96.53,0.11575629269251797,,,
1977-12-31,10.551236466213966,4.416133670787723,95.1,0.08906348553348709,,,
1978-03-31,10.640100894983851,4.5428582335950995,89.21,0.07499110972939382,,,
1978-06-30,10.990538963866118,4.6553968314788055,95.53,0.06381493661207971,,,
1978-09-30,11.457476797293966,4.774762614320088,102.54,0.06470104829258583,,,
1978-12-31,12.203187497843821,4.905225973850751,96.11,0.06649116315584269,,,
1979-03-31,13.096039041542223,5.045598042245084,101.59,0.016973709713949514,,,
1979-06-30,13.684215685391633,5.491114109683444,102.91,0.03256027466544298,,,
1979-09-30,14.278968173416015,5.6484963303606675,109.32,0.009429130917530504,,,
1979-12-31,14.469392048295504,5.793041449644921,107.94,-0.00012670128683955895,,,
1980-03-31,14.84038180473846,5.961070211816956,102.09,0.035078873064362526,,,
1980-06-30,14.485706622154764,5.858717368243426,114.24,0.07371614777906732,,,
1980-09-30,14.274590662738333,6.006406229670672,125.46,0.12540565785688873,,,
1980-12-31,14.532945148567514,6.12498546576902,135.76,0.15369531442556728,,,
1981-03-31,14.358870569871119,6.27928619239062,136.0,0.200351105307079,,,
1981-06-30,14.938359601952932,6.490879769658248,131.21,0.17557316438203818,,,
1981-09-30,15.168256478230122,6.609313145058067,116.18,0.18276740487694543,,,
1981-12-31,15.071745958800182,6.761590377073757,122.55,0.170784449289191,,,
1982-03-31,14.445557504484038,6.820687255082207,111.96,0.17379805275842442,,,
1982-06-30,13.748816120770837,6.750556469558198,109.61,0.18727592237488766,,,
1982-09-30,13.165333682432333,6.791091662182032,120.42,0.20265297821710737,,,
1982-12-31,12.269084399543175,6.8005345920921485,140.64,0.2696198214083849,,,
1983-03-31,12.111022060272436,6.84113814129448,152.96,0.3026830808813332,,,
1983-06-30,12.34225519488158,6.888543725003147,168.11,0.31425408667858035,,,
1983-09-30,13.013484348677208,6.958769462478472,166.07,0.31587111692281633,,,
1983-12-31,13.881163040270645,7.087376741974271,164.93,0.2363124549746689,,,
1984-03-31,15.13450868740098,7.142662316972881,159.18,0.25060265303760376,,,
1984-06-30,15.956827638523539,7.31804848014701,153.18,0.22875969637103433,,,
1984-09-30,16.24487186857387,7.375463400351898,166.1,0.2206046022744932,0.3867368922105885,,
1984-12-31,16.263793500237384,7.492890978601579,167.24,0.2096177910881436,0.41142723490029054,,
1985-03-31,15.903381520198163,7.611121138891303,180.66,0.21869429926457284,0.35905795973536137,,
1985-06-30,15.21592078601037,7.694477106284913,191.85,0.24613517938600937,0.43271595301482924,,
1985-09-30,14.75090269221371,7.838349991220276,182.08,0.2839164766823492,0.42609087093564746,,
1985-12-31,14.254965866892315,7.916457958556593,211.28,0.33068222416693116,0.49876014494619536,,
1986-03-31,14.273653869586944,8.007613001997319,238.9,0.29717442032899477,0.4777113519976184,,
1986-06-30,14.158298646989962,8.156942324285126,250.84,0.3160020424703376,0.47494481546647327,,
1986-09-30,14.501215141957012,8.294638760631804,231.32,0.29736200841564076,0.47226492408373355,,
1986-12-31,14.103809796869626,8.388369344637926,242.17,0.34484542942968366,0.5155847718398325,,
1987-03-31,14.607163577016752,8.556548832682747,291.7,0.34200930890909653,0.46586657089113226,,
1987-06-30,14.138684988288535,8.761604362911363,304.0,0.40295846686597514,0.5287601736348919,,
1987-09-30,15.345172421990949,8.965526179699104,321.83,0.39709980634484765,0.5015440305735877,,
1987-12-31,16.97413689702774,9.091498565199126,247.08,0.31211019542498564,0.4345950047479876,,
1988-03-31,18.18453895862022,9.20410118202882,258.89,0.28915378511623757,0.34749912168087294,,
1988-06-30,21.213380395979286,9.308803755108336,273.5,0.1970648868390974,0.27933475123688867,,
1988-09-30,22.344080622684057,9.726824145949973,271.91,0.18229791715524746,0.24455020811165973,,
1988-12-31,23.473517995564524,10.522760219187,277.72,0.16243163294903962,0.23667146019908936,,
1989-03-31,24.574200174285664,10.871254364057114,294.87,0.15623192543025244,0.19610497243056946,,
1989-06-30,24.919620507894216,11.221538844306863,317.98,0.1561266351482793,0.2089149615867445,,
1989-09-30,23.4551944834896,11.275362718874081,349.15,0.19396336285778482,0.2773969959411571,,
1989-12-31,22.573074244609042,11.175004698643182,353.4,0.24793370227618938,0.35559999852437096,,
