date,predicted,ood
1920-01-01,0.17478541865802896,True
1920-02-01,0.14162731563781683,True
1920-03-01,0.16658206933683345,True
1920-04-01,0.18821530061018585,True
1920-05-01,0.19012245075788775,True
1920-06-01,0.1936278586064861,True
1920-07-01,0.20506081134453158,True
1920-08-01,0.18782533901873807,True
1920-09-01,0.19353996045297414,True
1920-10-01,0.20350805921580759,True
1920-11-01,0.1846050916338126,True
1920-12-01,0.13417590846524058,True
1921-01-01,0.13877031603735127,True
1921-02-01,0.12608519655292144,True
1921-03-01,0.11798791765399214,True
1921-04-01,0.11606577829445917,True
1921-05-01,0.11830002971647982,True
1921-06-01,0.07451921912932817,True
1921-07-01,0.05296840705381443,True
1921-08-01,0.02559759781171135,True
1921-09-01,0.02336808427233672,True
1921-10-01,0.027460073612921153,True
1921-11-01,0.04368617140990654,True
1921-12-01,0.042557738826612915,True
1922-01-01,0.031273561080111596,True
1922-02-01,0.02296116802160192,True
1922-03-01,0.022990095499088217,True
1922-04-01,0.04984006209361811,True
1922-05-01,0.08399053876777,True
1922-06-01,0.08435490954645847,True
1922-07-01,0.09653703021830343,True
1922-08-01,0.11410702827916018,True
1922-09-01,0.14310064348477158,True
1922-10-01,0.1795432109821912,True
1922-11-01,0.20051334245733926,True
1922-12-01,0.21153353785938495,True
1923-01-01,0.22708088495223772,True
1923-02-01,0.25516905433359105,True
1923-03-01,0.2884077553023957,True
1923-04-01,0.29225143768952355,True
1923-05-01,0.2696101513906711,True
1923-06-01,0.2426081107164309,True
1923-07-01,0.21632468042886369,True
1923-08-01,0.2042638531220259,True
1923-09-01,0.20638681248508242,True
1923-10-01,0.20499617684651666,True
1923-11-01,0.2081630884611153,True
1923-12-01,0.2159238499002021,True
1924-01-01,0.22592841169188865,True
1924-02-01,0.22805378736894183,True
1924-03-01,0.2128507428953017,True
1924-04-01,0.18791357554626065,True
1924-05-01,0.16636431581749134,True
1924-06-01,0.14822179004115124,True
1924-07-01,0.1498718329821024,True
1924-08-01,0.1559097603286684,True
1924-09-01,0.1555178924930498,True
1924-10-01,0.146955685203691,True
1924-11-01,0.16675362458211346,True
1924-12-01,0.19493142318754045,True
1925-01-01,0.2202982937301041,True
1925-02-01,0.231995587140995,True
1925-03-01,0.22626774431989483,True
1925-04-01,0.22057266058880348,True
1925-05-01,0.22959572018869934,True
1925-06-01,0.24068323800960822,True
1925-07-01,0.26116711639605245,True
1925-08-01,0.27975953346169447,True
1925-09-01,0.29391796614234345,True
1925-10-01,0.3072235159389211,True
1925-11-01,0.32419950319437885,True
1925-12-01,0.3440499194983692,True
1926-01-01,0.3504672954131569,True
1926-02-01,0.3443011319998746,True
1926-03-01,0.30913856450375116,True
1926-04-01,0.26776202990057446,True
1926-05-01,0.24213895219809328,True
1926-06-01,0.2345157993439903,True
1926-07-01,0.23554357311777058,True
1926-08-01,0.2383805795199792,True
1926-09-01,0.23722320006493416,True
1926-10-01,0.22373080795171407,True
1926-11-01,0.22212628810203483,True
1926-12-01,0.2221054366070991,True
1927-01-01,0.21840849482641667,True
1927-02-01,0.21687223573475728,True
1927-03-01,0.20011308553468998,True
1927-04-01,0.18349558644500713,True
1927-05-01,0.17540591996577087,True
1927-06-01,0.17403733511452846,True
1927-07-01,0.17778492609924468,True
1927-08-01,0.19032693524984637,True
1927-09-01,0.19853057137686142,True
1927-10-01,0.1804553938148533,True
1927-11-01,0.1744465823805116,True
1927-12-01,0.1732223220993129,True
1928-01-01,0.1660026601927912,True
1928-02-01,0.15618065727410294,True
1928-03-01,0.15599592922009403,True
1928-04-01,0.16470529186146193,True
1928-05-01,0.17776355911513633,True
1928-06-01,0.17373603659931186,True
1928-07-01,0.17120181716543517,True
1928-08-01,0.1804612669688075,True
1928-09-01,0.20350792046381264,True
1928-10-01,0.21311866305210247,True
1928-11-01,0.22821842631715883,True
1928-12-01,0.2365322698063346,True
1929-01-01,0.2390911091839935,True
1929-02-01,0.2246263203638856,True
1929-03-01,0.21117845156052525,True
1929-04-01,0.20443599581696104,True
1929-05-01,0.2015465008324941,True
1929-06-01,0.1890365875588091,True
1929-07-01,0.18930661332416723,True
1929-08-01,0.1967303073229287,True
1929-09-01,0.21232763651731926,True
1929-10-01,0.20677873174162162,True
1929-11-01,0.14302370333316378,True
1929-12-01,0.12519158614730147,True
1930-01-01,0.13026232919706093,True
1930-02-01,0.1522509287200629,True
1930-03-01,0.17353102609751347,True
1930-04-01,0.18906219137299457,True
1930-05-01,0.17892266868120082,True
1930-06-01,0.13780114725573556,True
1930-07-01,0.11763305523547603,True
1930-08-01,0.104166429155932,True
1930-09-01,0.09579576473081655,True
1930-10-01,-0.0006501518984569354,True
1930-11-01,-0.12288253370016353,True
1930-12-01,-0.22091245255727882,True
1931-01-01,-0.22883485205516174,True
1931-02-01,-0.17181967639700485,True
1931-03-01,-0.1220453046202215,True
1931-04-01,-0.14112726648685409,True
1931-05-01,-0.2107301633550716,True
1931-06-01,-0.2639322152896643,True
1931-07-01,-0.2582988934488079,True
1931-08-01,-0.2690768033334974,True
1931-09-01,-0.3817957351409887,True
1931-10-01,-0.5564957882057202,True
1931-11-01,-0.6044856804457484,True
1931-12-01,-0.8346872863404955,True
1932-01-01,-0.8953940588169451,True
1932-02-01,-0.8763437475253226,True
1932-03-01,-0.8132248747285848,True
1932-04-01,-1.074326375620976,True
1932-05-01,-1.308109007300472,True
1932-06-01,-1.5564720476925287,True
