date,predicted,ood
1920-01-01,0.5634107981565464,True
1920-02-01,-0.21143956458313706,True
1920-03-01,0.5000147838204247,True
1920-04-01,0.6880525484781597,True
1920-05-01,0.12025520095869258,True
1920-06-01,0.0040894596684699636,True
1920-07-01,-0.6487851952202659,True
1920-08-01,-0.9956796038323779,True
1920-09-01,-0.5826160934714633,True
1920-10-01,-0.36394149452141544,True
1920-11-01,-0.8296909714296641,True
1920-12-01,-1.776745988456053,True
1921-01-01,-1.026445235579514,True
1921-02-01,-0.9291385147222542,True
1921-03-01,-1.0237687625925513,True
1921-04-01,0.3263628470699347,True
1921-05-01,0.8003130378427903,True
1921-06-01,0.13846258290874935,True
1921-07-01,0.13366408151298348,True
1921-08-01,0.19782102163905435,True
1921-09-01,0.6309513323426623,True
1921-10-01,0.3347612917891283,True
1921-11-01,0.983490600528107,True
1921-12-01,1.4470374543897062,True
1922-01-01,1.4105258384142925,True
1922-02-01,1.430292345482485,True
1922-03-01,1.5770986322732892,True
1922-04-01,2.2413121107232543,True
1922-05-01,2.3974324277157484,True
1922-06-01,2.1827189730103616,True
1922-07-01,1.8468448802352349,True
1922-08-01,2.003139481603257,True
1922-09-01,2.0708772790349075,True
1922-10-01,1.9395871760509742,True
1922-11-01,1.398894851606551,True
1922-12-01,1.243726983979097,True
1923-01-01,1.685326480922897,True
1923-02-01,1.943909330496635,True
1923-03-01,1.9868501235423333,True
1923-04-01,1.8065758121817472,True
1923-05-01,1.293799982237677,True
1923-06-01,0.8412991195905555,True
1923-07-01,-0.12308505701075578,True
1923-08-01,-0.17227818652706262,True
1923-09-01,-0.21060323408445036,True
1923-10-01,-0.4524797546786292,True
1923-11-01,-0.25387905456245985,True
1923-12-01,-0.023062654478453126,True
1924-01-01,-0.03772454898071409,True
1924-02-01,-0.012873671078702742,True
1924-03-01,-0.21493406645818336,True
1924-04-01,-0.5154189783781717,True
1924-05-01,-0.5682425177719033,True
1924-06-01,-0.40450947772247137,True
1924-07-01,0.10064235211280259,True
1924-08-01,0.3911888456322936,True
1924-09-01,0.2857752705028487,True
1924-10-01,-0.8805094608986357,True
1924-11-01,-0.4105379512016514,True
1924-12-01,0.01876740033087554,True
1925-01-01,0.7037759341293048,True
1925-02-01,0.6667509071210942,True
1925-03-01,0.33975024174434143,True
1925-04-01,0.8304223512202453,True
1925-05-01,0.9937455192347597,True
1925-06-01,1.0364663583472717,True
1925-07-01,0.9757940669152472,True
1925-08-01,0.9871622683147079,True
1925-09-01,1.0737588444521462,True
1925-10-01,0.9157282551955115,True
1925-11-01,1.065397357283806,True
1925-12-01,1.0985417503419201,True
1926-01-01,1.1783807365052388,True
1926-02-01,1.112157116599711,True
1926-03-01,0.4598745096462027,True
1926-04-01,0.42616516603927845,True
1926-05-01,0.40181467693444795,True
1926-06-01,0.7180575676966585,True
1926-07-01,1.0799671868947165,True
1926-08-01,1.3147113932242425,True
1926-09-01,1.3583414648530505,True
1926-10-01,0.19698056440092504,True
1926-11-01,0.22564612359672953,True
1926-12-01,0.3306303381430107,True
1927-01-01,0.2573721240762934,True
1927-02-01,0.3714915749729677,True
1927-03-01,0.45074734745672984,True
1927-04-01,0.7879823870180624,True
1927-05-01,1.0083608654956677,True
1927-06-01,1.0672368405098283,True
1927-07-01,1.473123382455987,True
1927-08-01,1.8083713734062217,True
1927-09-01,2.148640124261761,True
