Year,Quarter,dlm_exp,dlm_real,dlm_pd,date,shiller_fwd,shiller_trail
2003,1,0.189611604755651,0.0703726148722939,4.00049152203036,2003-03-01,0.10523720349292498,0.03067533161708047
2003,2,0.239990816068896,0.123786217638727,4.15722980184807,2003-06-01,0.14000390713014,0.008072071150647453
2003,3,0.2679761919666,0.129767214187802,4.15134305696379,2003-09-01,0.1440246683403612,0.04879016416943216
2003,4,0.202654837427465,0.104781528021419,4.21940420351542,2003-12-01,0.11143747066610121,0.07894114861677082
2004,1,0.179957794522172,0.129882906158962,4.21363929556222,2004-03-01,0.11568439899946226,0.10523720349292498
2004,2,0.166376247437078,0.134082526718663,4.19103914761807,2004-06-01,0.11802195573875274,0.14000390713014
2004,3,0.168722271756927,0.125512811731242,4.13409162708507,2004-09-01,0.11383183934797536,0.1440246683403612
2004,4,0.201773345355026,0.133902011695857,4.2007403003024,2004-12-01,0.13365998517919087,0.11143747066610121
2005,1,0.175844094706572,0.11894060685574,4.13091269553627,2005-03-01,0.11871630683938195,0.11568439899946226
2005,2,0.203400299642649,0.111293870779865,4.10026211067146,2005-06-01,0.11326042825090354,0.11802195573875274
2005,3,0.115262110194944,0.114019383972928,4.10614747190811,2005-09-01,0.1155552286059196,0.11383183934797536
2005,4,0.136872032750633,0.122486216187499,4.09640701942329,2005-12-01,0.11307148365949482,0.13365998517919087
2006,1,0.223755688093066,0.0980401699732183,4.10436810411117,2006-03-01,0.11240326036898818,0.11871630683938195
2006,2,0.1357525940766,0.0959648198183429,4.05307227655548,2006-06-01,0.11016975183324229,0.11326042825090354
2006,3,0.137910676207875,0.0979883815801355,4.07564959391817,2006-09-01,0.11288401028300044,0.1155552286059196
2006,4,0.121663668620275,0.159332320081449,4.10160516311191,2006-12-01,0.10845059175670801,0.11307148365949482
2007,1,0.173330121248362,0.188967069092963,4.09917994552411,2007-03-01,0.1045755862611677,0.11240326036898818
2007,2,0.172871200436924,0.162369012860617,4.12562906222217,2007-06-01,0.09263177759091823,0.11016975183324229
2007,3,0.170834196232095,0.138834873657505,4.11123473006323,2007-09-01,0.06701414217449875,0.11288401028300044
2007,4,0.0628022932123264,-0.0311769886322888,3.97695995868376,2007-12-01,0.023522110857193024,0.10845059175670801
2008,1,0.0202628540119658,-0.0349807020141784,3.83862562989871,2008-03-01,-0.03744137838080519,0.1045755862611677
2008,2,0.0115390558206494,-0.068881309674877,3.80242419199791,2008-06-01,-0.1150438439612751,0.09263177759091823
2008,3,-0.00258073037912565,-0.126883580115835,3.70314633855551,2008-09-01,-0.1882315340166434,0.06701414217449875
2008,4,0.00761876518385662,-0.0929511330023636,3.52223491684154,2008-12-01,-0.23652968267204422,0.023522110857193024
2009,1,-0.116383723590525,-0.20776039099331,3.36812165857045,2009-03-01,-0.21893378944593156,-0.03744137838080519
2009,2,-0.136037453518087,-0.176123701844038,3.54032441869017,2009-06-01,-0.14934266588698364,-0.1150438439612751
2009,3,-0.0931585934807484,-0.10793632538565,3.73165249170393,2009-09-01,-0.06705213787788722,-0.1882315340166434
2009,4,-0.0402266220658341,-0.0231118367015601,3.82588602426474,2009-12-01,0.014178350051616384,-0.23652968267204422
2010,1,0.0603782361593868,0.0778920764151638,3.95820815469012,2010-03-01,0.06753061569724927,-0.21893378944593156
2010,2,0.0663127316386638,0.105571026519238,3.83081697290502,2010-06-01,0.09926210327466745,-0.14934266588698364
